behave_index,user_id,nDCG - baseline,nDCG - tfidf,nDCG%5 - baseline,nDCG%5 - tfidf,nDCG%10 - baseline,nDCG%10 - tfidf
41,U10392,0.31502343111936326,0.31502343111936326,0.022133604175263475,0.022133604175263475,0.06531898487232102,0.06531898487232102
42,U10404,0.2689637636104507,0.2689637636104507,0.057307621143511525,0.057307621143511525,0.10422233347318662,0.10422233347318662
43,U10406,0.3937288153431494,0.3937288153431494,0.21649545765326575,0.21649545765326575,0.3937288153431494,0.3937288153431494
44,U10447,0.3283070541215764,1.0,0.11461524228702305,1.0,0.20844466694637323,1.0
45,U10448,0.2486022582675102,0.2486022582675102,0.04329909153065315,0.04329909153065315,0.07874576306862989,0.07874576306862989
46,U10450,0.2687120490446844,0.2687120490446844,0.011066802087631738,0.011066802087631738,0.03265949243616051,0.03265949243616051
47,U10461,1.0,0.4396666065534579,1.0,0.32474318647989864,1.0,0.4396666065534579
48,U10487,1.0,1.0,1.0,1.0,1.0,1.0
49,U10501,0.3008269350704703,0.3008269350704703,0.08471561386432139,0.08471561386432139,0.1540677973081889,0.1540677973081889
50,U10511,0.22974446407296564,0.22974446407296564,0.032474318647989865,0.032474318647989865,0.059059322301472414,0.059059322301472414
51,U10515,0.2769647711213377,0.2769647711213377,0.02885140827587915,0.02885140827587915,0.06378109476114834,0.06378109476114834
52,U10516,0.3546181446336348,0.3546181446336348,0.07693708873567773,0.07693708873567773,0.1700829193630622,0.1700829193630622
53,U1052,0.23031898973716616,0.23031898973716616,0.013463990528743603,0.013463990528743603,0.029764510888535888,0.029764510888535888
54,U1053,0.52053543721495,1.0,0.52053543721495,1.0,0.52053543721495,1.0
55,U10554,0.4396666065534579,0.4396666065534579,0.32474318647989864,0.32474318647989864,0.4396666065534579,0.4396666065534579
56,U10567,0.19070188833843718,0.19070188833843718,0.015841131047799935,0.015841131047799935,0.028809425512913378,0.028809425512913378
57,U10585,0.2722585739912231,0.2722585739912231,0.026927981057487206,0.026927981057487206,0.059529021777071776,0.059529021777071776
58,U10592,0.2994853170709365,0.2994853170709365,0.03940680154754226,0.03940680154754226,0.0871156416249831,0.0871156416249831
59,U10602,0.29038807983491705,0.29038807983491705,0.07494073534151507,0.07494073534151507,0.13629074377262868,0.13629074377262868
60,U10603,0.6309297535714573,1.0,0.6309297535714573,1.0,0.6309297535714573,1.0
61,U10604,0.4396666065534579,0.4396666065534579,0.32474318647989864,0.32474318647989864,0.4396666065534579,0.4396666065534579
62,U10629,0.32292211851258656,0.32292211851258656,0.10824772882663287,0.10824772882663287,0.1968644076715747,0.1968644076715747
63,U10640,0.30883699693326616,0.30883699693326616,0.09278376756568532,0.09278376756568532,0.16874092086134976,0.16874092086134976
64,U10647,0.2787193680613627,0.2787193680613627,0.06494863729597973,0.06494863729597973,0.11811864460294483,0.11811864460294483
65,U10660,0.24562249887963855,1.0,0.04145657699743387,1.0,0.07539487953379458,1.0
66,U10665,0.3442708166064416,0.606562489963865,0.0,0.39999999999999997,0.03977900866021314,0.4238674051961278
67,U10673,0.33411318791876005,0.33411318791876005,0.12177869492996199,0.12177869492996199,0.22147245863052156,0.22147245863052156
68,U10674,0.29038807983491705,0.29038807983491705,0.07494073534151507,0.07494073534151507,0.13629074377262868,0.13629074377262868
69,U10675,0.46093326119748285,0.46093326119748285,0.3896918237758784,0.3896918237758784,0.46093326119748285,0.46093326119748285
70,U10700,0.2441966930724702,0.2441966930724702,0.04059289830998733,0.04059289830998733,0.07382415287684052,0.07382415287684052
71,U10703,0.29715689834059084,0.29715689834059084,0.08118579661997466,0.08118579661997466,0.14764830575368104,0.14764830575368104
72,U10704,0.22872078726537892,0.22872078726537892,0.03194195276851462,0.03194195276851462,0.05809113668997287,0.05809113668997287
73,U10725,0.36294916443366565,0.36294916443366565,0.16237159323994932,0.16237159323994932,0.2952966115073621,0.2952966115073621
74,U10736,0.2787193680613627,0.2787193680613627,0.06494863729597973,0.06494863729597973,0.11811864460294483,0.11811864460294483
75,U10738,0.24146315530898813,0.24146315530898813,0.038969182377587834,0.038969182377587834,0.0708711867617669,0.0708711867617669
76,U10747,0.3689282043573349,0.4741068369644458,0.0,0.16666666666666663,0.03570400205529568,0.19642000171274637
77,U10756,0.2893666383440485,0.2893666383440485,0.034376146030834734,0.034376146030834734,0.07599449588562354,0.07599449588562354
78,U10760,0.3335827603015505,0.3335827603015505,0.010415146084676223,0.010415146084676223,0.053359649761724734,0.053359649761724734
79,U10766,0.32292211851258656,0.32292211851258656,0.10824772882663287,0.10824772882663287,0.1968644076715747,0.1968644076715747
80,U10769,0.4396666065534579,0.4396666065534579,0.32474318647989864,0.32474318647989864,0.4396666065534579,0.4396666065534579
81,U10794,0.2470903011693261,0.2470903011693261,0.042357806932160694,0.042357806932160694,0.07703389865409445,0.07703389865409445
82,U10808,0.34608068517696056,0.5095605138827204,0.012328132100228997,0.2592460990751717,0.06316040175877621,0.29737030131908215
83,U10822,0.3047127830720055,0.3047127830720055,0.0885663235854269,0.0885663235854269,0.16107087900401568,0.16107087900401568
84,U1083,0.25526220634889635,0.25526220634889635,0.020713831582682467,0.020713831582682467,0.04579155521313213,0.04579155521313213
85,U10839,0.3047127830720055,0.3047127830720055,0.0885663235854269,0.0885663235854269,0.16107087900401568,0.16107087900401568
86,U10850,0.5948507045499434,0.5948507045499434,0.3716982472371233,0.3716982472371233,0.44655290711202306,0.44655290711202306
87,U10851,0.2470903011693261,0.2470903011693261,0.042357806932160694,0.042357806932160694,0.07703389865409445,0.07703389865409445
88,U10857,0.3547190767702926,0.3547190767702926,0.14988147068303015,0.14988147068303015,0.27258148754525735,0.27258148754525735
89,U10862,0.459608961865173,0.7298044809325865,0.2308112662070332,0.6154056331035166,0.459608961865173,0.7298044809325865
90,U10874,0.29368301912125333,0.29368301912125333,0.07793836475517567,0.07793836475517567,0.1417423735235338,0.1417423735235338
91,U10882,0.52053543721495,1.0,0.52053543721495,1.0,0.52053543721495,1.0
92,U10884,0.350502234539951,0.350502234539951,0.07343994833860149,0.07343994833860149,0.16235187757383213,0.16235187757383213
93,U10886,0.4396666065534579,1.0,0.32474318647989864,1.0,0.4396666065534579,1.0
94,U10902,0.3283070541215764,0.3283070541215764,0.11461524228702305,0.11461524228702305,0.20844466694637323,0.20844466694637323
95,U10916,0.283504276732711,0.283504276732711,0.03167997771469083,0.03167997771469083,0.07003414326714327,0.07003414326714327
96,U10924,0.29715689834059084,0.29715689834059084,0.08118579661997466,0.08118579661997466,0.14764830575368104,0.14764830575368104
97,U10932,0.2569120428517237,0.2569120428517237,0.0487114779719848,0.0487114779719848,0.08858898345220863,0.08858898345220863
98,U10933,0.2860300653701274,0.2860300653701274,0.01456895464700887,0.01456895464700887,0.042994774852667,0.042994774852667
99,U10934,0.20037719284928124,0.20037719284928124,0.019291674444350416,0.019291674444350416,0.035084745921666785,0.035084745921666785
